,learning rate,n_ep,moyenne,écart-type,durée d'apprentissage
0,0.1,500,-134.68961302113252,106.51818625255757,26.258394956588745
1,0.1,1000,-314.47232412728556,104.74575706685661,50.030308961868286
2,0.1,2000,-146.48363587300875,104.12840564524654,156.68352794647217
3,0.1,4000,-132.31291889099708,106.74289599195886,197.37313985824585
4,0.01,1000,103.74057605859377,107.62850142828951,390.1955862045288
5,0.01,2000,164.05419408437444,103.4798298209708,697.8042349815369
6,0.01,4000,254.75365821473056,106.8897916282729,984.7964091300964
7,0.01,500,-82.34279197231503,56.98677250786421,383.1621780395508
8,0.001,2000,262.2820757201318,104.82859756443099,638.4027290344238
9,0.0001,500,-135.16653732609848,106.74232756929166,14.787362098693848
10,0.001,500,-30.546345524999754,56.87447206890979,565.3042669296265
11,0.0001,1000,-93.84485859040267,107.4992506276171,146.77868795394897
12,0.001,1000,181.98217492381582,106.84220609615025,1030.7028360366821
13,0.001,4000,282.02597411457896,107.14715987234464,1286.7510168552399
14,0.0001,2000,164.0281966129451,100.84179463460701,1470.2696509361267
15,0.0001,4000,257.6968142694369,111.29471460529325,2341.2680130004883
